Start time,End time,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms)
08:00:00.000-05:00,08:15:00.000-05:00,15.971354484558105,,,,,19.047372817993164,72.8281478881836,19.0946102142334,72.85340881347656,,,,19,,,,,,,
08:15:00.000-05:00,08:30:00.000-05:00,15.971354484558105,,,,,19.04954719543457,72.8250503540039,19.0646915435791,72.8283920288086,,,,91,,,,,,,
08:30:00.000-05:00,08:45:00.000-05:00,53.602718353271484,130.64080810546875,,,,19.068517684936523,72.8283462524414,19.068904876708984,72.8283920288086,2.2360680103302,2.2360680103302,2.2360680103302,585,,,,,351455,368731,117332
08:45:00.000-05:00,09:00:00.000-05:00,15.971353530883789,,,,,19.068567276000977,72.828369140625,19.068567276000977,72.828369140625,,,,87,,,,,900000,,
09:00:00.000-05:00,09:15:00.000-05:00,15.971353530883789,,,,,,,,,,,,62,,,,,900000,,
09:15:00.000-05:00,09:30:00.000-05:00,15.971352577209473,,,,,19.068456649780273,72.82833099365234,19.068525314331055,72.8283462524414,,,,196,,,,,425068,,
09:30:00.000-05:00,09:45:00.000-05:00,15.971351623535156,,,,,19.068456649780273,72.82833099365234,19.06859016418457,72.82837677001953,,,,210,,,,,900000,,
09:45:00.000-05:00,10:00:00.000-05:00,15.971351623535156,,,,,19.068567276000977,72.82832336425781,19.068634033203125,72.82837677001953,,,,4,,,,,900000,,
10:00:00.000-05:00,10:15:00.000-05:00,15.971351623535156,,,,,19.068626403808594,72.82833099365234,19.068626403808594,72.82833099365234,,,,,,,,,900000,,
10:15:00.000-05:00,10:30:00.000-05:00,15.971351623535156,,,,,19.068567276000977,72.82833099365234,19.068620681762695,72.828369140625,,,,10,,,,,900000,,
10:30:00.000-05:00,10:45:00.000-05:00,15.971351623535156,,,,,19.068567276000977,72.828369140625,19.068567276000977,72.828369140625,,,,19,,,,,900000,,
10:45:00.000-05:00,11:00:00.000-05:00,15.971351623535156,,,,,19.068519592285156,72.828369140625,19.068578720092773,72.82839965820312,,,,,,,,,900000,,
11:00:00.000-05:00,11:15:00.000-05:00,15.971351623535156,,,,,,,,,,,,,,,,,900000,,
11:15:00.000-05:00,11:30:00.000-05:00,15.971351623535156,,,,,,,,,,,,72,,,,,900000,,
11:30:00.000-05:00,11:45:00.000-05:00,15.971351623535156,,,,,,,,,,,,75,,,,,900000,,
11:45:00.000-05:00,12:00:00.000-05:00,15.971351623535156,,,,,19.068517684936523,72.82837677001953,19.068567276000977,72.82839965820312,,,,184,,,,,900000,,
12:00:00.000-05:00,12:15:00.000-05:00,15.971351623535156,,,,,19.068567276000977,72.828369140625,19.068567276000977,72.828369140625,,,,9,,,,,900000,,
12:15:00.000-05:00,12:30:00.000-05:00,15.971351623535156,,,,,,,,,,,,,,,,,900000,,
12:30:00.000-05:00,12:45:00.000-05:00,15.971351623535156,,,,,,,,,,,,,,,,,900000,,
12:45:00.000-05:00,13:00:00.000-05:00,15.971351623535156,,,,,,,,,,,,,,,,,900000,,
