Start time,End time,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Strength training duration (ms)
21:00:00.000-04:00,21:15:00.000-04:00,15.346353530883789,,,,,51.108154296875,-115.00999450683594,51.15392303466797,-114.80502319335938,26.398515701293945,31.800100326538086,23.290002822875977,31,,,,,,
21:15:00.000-04:00,21:30:00.000-04:00,15.346353530883789,,,,,51.03890609741211,-115.2894515991211,51.06658172607422,-115.08956909179688,27.815303802490234,31.092201232910156,24.62005043029785,25,,,,,,
21:30:00.000-04:00,21:45:00.000-04:00,15.346353530883789,,,,,51.0942497253418,-115.43409729003906,51.15543746948242,-115.34889221191406,23.136669158935547,28.340213775634766,18.45017433166504,16,,,,,,
21:45:00.000-04:00,22:00:00.000-04:00,15.346353530883789,,,,,51.17854690551758,-115.57939147949219,51.199134826660156,-115.49903106689453,12.694855690002441,24.140249252319336,3.2105607986450195,29,,,,,,
22:00:00.000-04:00,22:15:00.000-04:00,15.346354484558105,,,,,51.177494049072266,-115.5725326538086,51.17817306518555,-115.57232666015625,,,,193,,,,369406,,
22:15:00.000-04:00,22:30:00.000-04:00,15.346353530883789,,,,,51.17752456665039,-115.5725326538086,51.17752456665039,-115.5725326538086,,,,9,,,,900000,,
22:30:00.000-04:00,22:45:00.000-04:00,15.346353530883789,,,,,,,,,,,,,,,,900000,,
22:45:00.000-04:00,23:00:00.000-04:00,15.346353530883789,,,,,51.17753219604492,-115.57246398925781,51.17753219604492,-115.57246398925781,,,,,,,,900000,,
23:00:00.000-04:00,23:15:00.000-04:00,21.897722244262695,74.13346862792969,,,,51.176910400390625,-115.5733413696289,51.17750930786133,-115.57227325439453,5.3673272132873535,5.3673272132873535,5.3673272132873535,120,,,,520042,122066,
23:15:00.000-04:00,23:30:00.000-04:00,15.346353530883789,,,,,51.15730667114258,-115.77035522460938,51.199378967285156,-115.60753631591797,21.4864501953125,27.9274959564209,18.082735061645508,18,,,,,,
23:30:00.000-04:00,23:45:00.000-04:00,15.346353530883789,,,,,51.22358322143555,-115.99948120117188,51.29069900512695,-115.81399536132812,24.873733520507812,25.012311935424805,24.770244598388672,8,,,,,,
23:45:00.000-04:00,00:00:00.000-04:00,15.346353530883789,,,,,51.34331512451172,-116.18099975585938,51.42305374145508,-116.07022094726562,22.9580020904541,27.88617515563965,10.73553466796875,32,,,,,,
