Start time,End time,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms)
07:45:00.000-05:00,08:00:00.000-05:00,15.346352577209473,,,,,22.579566955566406,88.34278106689453,22.579566955566406,88.34278106689453,,,,223,,,,,226894,
08:00:00.000-05:00,08:15:00.000-05:00,15.346353530883789,,,,,22.5648193359375,88.33866882324219,22.58089256286621,88.34424591064453,,,,66,,,,,179948,
08:15:00.000-05:00,08:30:00.000-05:00,15.346354484558105,,,,,22.564821243286133,88.33866882324219,22.570003509521484,88.34371185302734,,,,22,,,,,900000,
08:30:00.000-05:00,08:45:00.000-05:00,15.346354484558105,,,,,22.572908401489258,88.34253692626953,22.582447052001953,88.34673309326172,,,,30,,,,,900000,
08:45:00.000-05:00,09:00:00.000-05:00,15.346354484558105,,,,,22.577838897705078,88.3467025756836,22.577838897705078,88.3467025756836,,,,43,,,,,900000,
09:00:00.000-05:00,09:15:00.000-05:00,15.346354484558105,,,,,22.579423904418945,88.34709930419922,22.579423904418945,88.34709930419922,,,,162,,,,,219273,
09:15:00.000-05:00,09:30:00.000-05:00,15.346354484558105,,,,,,,,,,,,121,,,,,489900,
09:30:00.000-05:00,09:45:00.000-05:00,15.346353530883789,,,,,22.582447052001953,88.34629821777344,22.582447052001953,88.34629821777344,,,,97,,,,,427870,
09:45:00.000-05:00,10:00:00.000-05:00,15.346353530883789,,,,,22.579423904418945,88.34278106689453,22.579566955566406,88.34709930419922,,,,19,,,,,622876,
10:00:00.000-05:00,10:15:00.000-05:00,15.346351623535156,,,,,22.57338523864746,88.34033203125,22.57338523864746,88.34033203125,1.7415223121643066,1.7415223121643066,1.7415223121643066,45,,,,,900000,
10:15:00.000-05:00,10:30:00.000-05:00,17.275869369506836,18.68763542175293,,,,22.579565048217773,88.34278106689453,22.579565048217773,88.34278106689453,,,,264,,,,,391300,35951
10:30:00.000-05:00,10:45:00.000-05:00,17.673751831054688,68.02983856201172,,,,22.570003509521484,88.34187316894531,22.577838897705078,88.3467025756836,,,,237,,,,,233432,17333
10:45:00.000-05:00,11:00:00.000-05:00,29.327117919921875,408.65789794921875,,,,22.575883865356445,88.34256744384766,22.575883865356445,88.34256744384766,,,,201,,,,,,104120
11:00:00.000-05:00,11:15:00.000-05:00,15.346353530883789,,,,,22.575883865356445,88.34256744384766,22.575883865356445,88.34256744384766,,,,8,,,,,899926,
11:15:00.000-05:00,11:30:00.000-05:00,18.335973739624023,18.134531021118164,,,,22.56399154663086,88.33680725097656,22.56816291809082,88.33877563476562,,,,143,,,,,16381,55703
11:30:00.000-05:00,11:45:00.000-05:00,23.487667083740234,83.6314926147461,,,,22.56399154663086,88.33866882324219,22.564821243286133,88.33877563476562,,,,511,,,,,66879,151690
11:45:00.000-05:00,12:00:00.000-05:00,30.387195587158203,275.18505859375,,,,22.537214279174805,88.33372497558594,22.538066864013672,88.33474731445312,,,,609,,,,,,280243
12:00:00.000-05:00,12:15:00.000-05:00,28.05552101135254,312.62884521484375,,,,22.53666877746582,88.33372497558594,22.538114547729492,88.33502197265625,,,,590,,,,,114994,202856
12:15:00.000-05:00,12:30:00.000-05:00,18.685901641845703,96.36404418945312,,,,22.536645889282227,88.33365631103516,22.537260055541992,88.3343276977539,,,,74,,,,,713650,41473
12:30:00.000-05:00,12:45:00.000-05:00,17.865604400634766,,,,,22.53660011291504,88.33365631103516,22.536672592163086,88.3337173461914,,,,49,,,,,853061,46939
