Date,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Strength training duration (ms)
2015-10-15,1813.24658203125,287.97412109375,,,,19.068496704101562,72.82817840576172,19.06873893737793,72.82836151123047,,,,4434,,,,2210167,77907494,999468,,
2015-10-16,1604.8865966796875,371.26666259765625,,,,19.056095123291016,72.82701110839844,19.07007598876953,72.83612060546875,2.4215900897979736,4.0,0.5,3046,,,,,81643448,1207841,,
2015-10-17,1786.09765625,1811.436279296875,,,,18.993806838989258,72.81156921386719,19.070152282714844,72.83012390136719,7.047208309173584,16.905990600585938,0.5,7841,,,,,76933553,4263184,,
2015-10-18,1569.042724609375,260.2664489746094,,,,19.068532943725586,72.8281478881836,19.070077896118164,72.8295669555664,,,,2063,,,,,85763553,603489,,
2015-10-19,1801.24609375,3203.0400390625,,,,19.055639266967773,72.82699584960938,19.068735122680664,72.83612823486328,,,,9030,,,,,76743605,4518594,,
2015-10-20,1567.726318359375,346.3627014160156,,,,19.06547737121582,72.82805633544922,19.06898307800293,72.8340072631836,,,,3027,,,,,81080282,581291,,
2015-10-21,1711.10888671875,1949.9847412109375,,,,19.040552139282227,72.81974792480469,19.11431121826172,72.86351013183594,5.621274948120117,16.757461547851562,0.5,7885,,,,,69353292,2996190,,
2015-10-22,1610.218017578125,629.2022094726562,,,,19.068513870239258,72.82817840576172,19.068984985351562,72.82842254638672,2.915475845336914,2.915475845336914,2.915475845336914,4146,,,,,79636207,1289379,,
2015-10-23,1790.6749267578125,2780.30029296875,,,,19.056381225585938,72.82333374023438,19.068696975708008,72.83612823486328,2.359640121459961,4.031128883361816,0.5,6343,,,,,77336647,3238686,486386,
2015-10-24,1641.6268310546875,1085.9775390625,,,,19.068077087402344,72.82496643066406,19.07366943359375,72.82841491699219,,,,4942,,,,,82782009,1604713,98275,
2015-10-25,1606.1644287109375,374.1252136230469,,,,19.051082611083984,72.823486328125,19.094148635864258,72.8561019897461,6.542604923248291,7.5,0.5,4409,,,,,75098306,1229391,,
2015-10-26,1589.7274169921875,425.49237060546875,,,,19.046173095703125,72.82098388671875,19.070232391357422,72.82994079589844,2.6904807090759277,3.8810436725616455,1.5,5248,,,,,75672411,937737,,
2015-10-27,1544.154052734375,70.06539916992188,,,,19.068496704101562,72.82805633544922,19.068984985351562,72.828369140625,,,,3720,,,,,81091515,183850,,
2015-10-28,1565.2451171875,232.42031860351562,,,,19.04625701904297,72.82124328613281,19.070077896118164,72.83609771728516,2.624241590499878,2.75,0.75,5246,,,,,66962464,539462,,
2015-10-29,1573.2938232421875,181.271240234375,,,,18.93138885498047,72.80781555175781,19.069141387939453,72.82939147949219,3.318000316619873,4.5,2.136000871658325,3875,,,,,76945109,675169,,
2015-10-30,1858.824462890625,318.0116882324219,,,,18.953792572021484,72.80787658691406,19.068761825561523,72.8382797241211,8.5,8.5,8.5,4758,,,,2880017,68461669,640044,,
2015-10-31,1631.686279296875,1289.4453125,,,,18.953176498413086,72.81432342529297,19.09603500366211,72.87056732177734,6.487698554992676,13.75,0.5,8250,,,,,65933435,1659704,,
2015-11-01,1744.854248046875,1353.19580078125,,,,19.040700912475586,72.8226318359375,19.070077896118164,72.8646469116211,1.4536471366882324,19.25,0.55901700258255,5995,,,,,75733173,2490640,,
2015-11-02,1619.54052734375,687.4417724609375,,,,18.99342918395996,72.82305908203125,19.069725036621094,72.84696960449219,1.150473713874817,19.411659240722656,0.5,3533,,,,,40848930,1454915,,
2015-11-03,1679.9259033203125,1433.131103515625,70.0,70.0,70.0,18.92511558532715,72.80892181396484,19.070838928222656,72.86664581298828,3.978297233581543,17.82729721069336,0.5,8398,,,,,31794182,2473056,,
2015-11-04,1612.130126953125,616.5440673828125,,,,19.048580169677734,72.82041931152344,19.069616317749023,72.83012390136719,2.775692939758301,13.25,0.5,5846,,,,,75862380,1329974,,
2015-11-05,1633.677490234375,1157.5042724609375,,,,18.99903106689453,72.8251724243164,19.06869888305664,72.84088134765625,2.4222865104675293,3.4731109142303467,0.5,5238,,,,,72738733,1693280,,
2015-11-06,1628.657470703125,664.7749633789062,,,,19.047212600708008,72.82206726074219,19.076202392578125,72.83836364746094,7.9975056648254395,16.007810592651367,0.5,5575,,,,,73565445,1219112,171975,
2015-11-07,1626.166748046875,871.3814697265625,,,,19.054908752441406,72.82466125488281,19.070077896118164,72.83411407470703,1.6170010566711426,7.566372871398926,0.75,5135,,,,,78321028,1566638,,
2015-11-08,1803.804443359375,2987.4345703125,,,,18.993427276611328,72.82383728027344,19.096019744873047,72.85340881347656,1.6015992164611816,8.381526947021484,0.5,6570,,,,1025375,71601379,2569454,117332,
2015-11-09,1571.3818359375,354.65771484375,,,,19.068456649780273,72.8282699584961,19.068740844726562,72.82839965820312,,,,3778,,,,,84016967,642932,,
2015-11-10,1837.559814453125,5916.7783203125,,,,19.068456649780273,72.82817077636719,19.069664001464844,72.83016204833984,,,,13237,,,,,80620405,4281171,295088,
2015-11-11,1940.7864990234375,19224.26953125,,,,18.925256729125977,72.80841064453125,19.069311141967773,72.82878112792969,5.514360427856445,22.588714599609375,0.5,4571,,,,3777855,64672691,510210,,
2015-11-12,1576.594482421875,531.4056396484375,,,,18.934175491333008,72.80928039550781,19.070755004882812,72.85503387451172,5.895841121673584,16.0,0.5,6827,,,,,71995897,730819,,
2015-11-13,1630.40478515625,729.2666625976562,,,,19.04610252380371,72.82091522216797,19.069074630737305,72.8360595703125,1.6646852493286133,2.3048861026763916,0.75,5319,,,,,77835630,1638097,,
2015-11-14,1632.4971923828125,2026.8939208984375,,,,18.915447235107422,72.80768585205078,19.068851470947266,72.83609771728516,5.128751754760742,9.5,0.5,4010,,,,568876,72660739,715507,,
2015-11-15,1605.1767578125,397.3110656738281,,,,19.068401336669922,72.82826232910156,19.068679809570312,72.8283920288086,,,,5984,,,,,76374173,1212734,,
2015-11-16,1568.0938720703125,353.7117919921875,,,,19.045955657958984,72.82111358642578,19.068889617919922,72.83381652832031,3.4720187187194824,7.25,0.5,4037,,,,,80081292,587491,,
2015-11-17,1812.80517578125,5032.9423828125,,,,19.055326461791992,72.82453918457031,19.068758010864258,72.83611297607422,1.614637851715088,2.015564441680908,1.346291184425354,12291,,,,,78556274,3900848,240920,
2015-11-18,1710.9156494140625,2478.457763671875,,,,19.045686721801758,72.82125854492188,19.069664001464844,72.83607482910156,3.7220661640167236,12.700885772705078,0.5,7441,,,,610009,78026174,1694698,120564,
2015-11-19,1686.267333984375,3298.7978515625,,,,19.068452835083008,72.8282699584961,19.06888198852539,72.82854461669922,0.8720290064811707,1.0,0.75,9202,72.0,72.0,72.0,,79962166,2809659,,600000
2015-11-20,1736.4886474609375,3140.51025390625,,,,18.97037696838379,72.81071472167969,19.07472038269043,72.86555480957031,1.0063396692276,24.5,0.5,9499,,,,,65060670,3642668,,
2015-11-21,1633.59423828125,2471.233154296875,,,,19.050437927246094,72.82492065429688,19.073776245117188,72.86308288574219,1.7725542783737183,2.7950849533081055,0.75,3890,,,,506579,81788690,1036703,,
2015-11-22,1687.2110595703125,2834.505126953125,,,,19.066387176513672,72.82816314697266,19.068967819213867,72.82994079589844,0.505765438079834,1.0,0.5,8232,,,,,81004660,2694101,,
2015-11-23,1691.400634765625,2113.958251953125,,,,19.04594612121582,72.82012939453125,19.070785522460938,72.83607482910156,3.5367066860198975,7.75,0.5,4919,,,,554864,79191965,1945678,,
2015-11-24,1588.284912109375,493.2565002441406,,,,19.05631446838379,72.82657623291016,19.07016372680664,72.83605194091797,1.1986498832702637,12.5,0.5,4517,,,,,78077856,1114188,,
2015-11-25,1544.5943603515625,148.2536163330078,,,,19.046037673950195,72.82063293457031,19.069046020507812,72.82853698730469,,,,4259,,,,,81222223,365675,,
2015-11-26,1659.914794921875,2513.71435546875,,,,19.0551700592041,72.8244400024414,19.074003219604492,72.83604431152344,0.7403801083564758,2.25,0.5,7270,,,,454184,78136735,1575929,,
2015-11-27,1622.5755615234375,777.90283203125,,,,19.045791625976562,72.81967163085938,19.0688419342041,72.8284912109375,3.8904922008514404,11.0,0.5,5496,,,,,78079847,1701660,,
2015-11-28,1564.962158203125,314.6756591796875,,,,19.068418502807617,72.82445526123047,19.073745727539062,72.82838439941406,0.7807496190071106,5.031152725219727,0.55901700258255,5480,,,,,79479919,714621,,
2015-11-29,1707.068359375,3267.670654296875,,,,19.049877166748047,72.8239517211914,19.086408615112305,72.88909149169922,2.719695806503296,19.75,0.5,5867,,,,909057,73610202,1617186,,
2015-11-30,1751.5009765625,5392.994140625,,,,19.045955657958984,72.82112884521484,19.073104858398438,72.83606719970703,3.369513511657715,8.961724281311035,0.5,6175,,,,1044813,75742151,2149621,,
2015-12-01,1560.278564453125,227.49876403808594,,,,19.068344116210938,72.82334899902344,19.071077346801758,72.8302230834961,2.750966787338257,3.36340594291687,2.136000871658325,5109,,,,,79727082,634380,,
2015-12-02,1611.8974609375,914.8231201171875,,,,18.915851593017578,72.8084945678711,19.06963539123535,72.83041381835938,3.5407652854919434,7.017834186553955,0.5,3420,,,,,72643340,1518722,,
2015-12-03,1858.452880859375,6494.0693359375,,,,19.056081771850586,72.82733154296875,19.068708419799805,72.83606719970703,0.75,0.75,0.75,6596,,,,1203357,80125643,2867720,300739,60000
2015-12-04,1585.9156494140625,557.0260620117188,,,,18.964174270629883,72.80671691894531,19.069108963012695,72.8370590209961,1.883934497833252,5.0,0.75,4371,,,,,73400416,1073593,,
